No	Id	X	Y	Intensitas
1	1	744601.2460	9886461.3600	-14.4248
2	2	744627.2460	9886461.3600	-15.3051
3	3	744419.2460	9886435.3600	-14.6099
4	4	744445.2460	9886435.3600	-15.9281
5	5	744471.2460	9886435.3600	-14.7544
6	6	744497.2460	9886435.3600	-14.0314
7	7	744523.2460	9886435.3600	-13.9175
8	8	744549.2460	9886435.3600	-13.8115
9	9	744575.2460	9886435.3600	-12.6516
10	10	744601.2460	9886435.3600	-11.9079
11	11	744627.2460	9886435.3600	-13.6923
12	12	744653.2460	9886435.3600	-15.2441
13	13	744419.2460	9886409.3600	-11.4818
14	14	744445.2460	9886409.3600	-13.2132
15	15	744471.2460	9886409.3600	-15.2024
16	16	744497.2460	9886409.3600	-14.2729
17	17	744523.2460	9886409.3600	-13.8464
18	18	744549.2460	9886409.3600	-12.6997
19	19	744575.2460	9886409.3600	-12.0488
20	20	744601.2460	9886409.3600	-12.9226
21	21	744627.2460	9886409.3600	-12.9024
22	22	744653.2460	9886409.3600	-13.0837
23	23	744679.2460	9886409.3600	-14.2397
24	24	744393.2460	9886383.3600	-18.8011
25	25	744419.2460	9886383.3600	-11.4574
26	26	744445.2460	9886383.3600	-13.4484
27	27	744471.2460	9886383.3600	-13.7953
28	28	744497.2460	9886383.3600	-13.5438
29	29	744523.2460	9886383.3600	-13.2426
30	30	744549.2460	9886383.3600	-13.0181
31	31	744575.2460	9886383.3600	-11.8925
32	32	744601.2460	9886383.3600	-11.5938
33	33	744627.2460	9886383.3600	-13.2337
34	34	744653.2460	9886383.3600	-12.5387
35	35	744679.2460	9886383.3600	-13.3757
36	36	744705.2460	9886383.3600	-14.4100
37	37	744393.2460	9886357.3600	-11.9484
38	38	744419.2460	9886357.3600	-12.2328
39	39	744445.2460	9886357.3600	-11.9117
40	40	744471.2460	9886357.3600	-13.0517
41	41	744497.2460	9886357.3600	-13.4009
42	42	744523.2460	9886357.3600	-12.9638
43	43	744549.2460	9886357.3600	-12.4302
44	44	744575.2460	9886357.3600	-12.8127
45	45	744601.2460	9886357.3600	-12.4689
46	46	744627.2460	9886357.3600	-12.8421
47	47	744653.2460	9886357.3600	-13.3118
48	48	744679.2460	9886357.3600	-12.3910
49	49	744705.2460	9886357.3600	-13.3858
50	50	744731.2460	9886357.3600	-13.4141
51	51	744393.2460	9886331.3600	-11.9354
52	52	744419.2460	9886331.3600	-12.1641
53	53	744445.2460	9886331.3600	-11.4767
54	54	744471.2460	9886331.3600	-11.6893
55	55	744497.2460	9886331.3600	-12.5797
56	56	744523.2460	9886331.3600	-11.9683
57	57	744549.2460	9886331.3600	-12.1166
