Id	X	Y	Z
1	744601.2000	9886481.1000	-29.5295
2	744601.2000	9886455.1000	-27.9283
3	744627.2000	9886455.1000	-26.8304
4	744419.2000	9886429.1000	-28.6184
5	744445.2000	9886429.1000	-27.6189
6	744471.2000	9886429.1000	-27.2573
7	744497.2000	9886429.1000	-26.9606
8	744523.2000	9886429.1000	-26.2755
9	744549.2000	9886429.1000	-26.6854
10	744575.2000	9886429.1000	-27.9811
11	744601.2000	9886429.1000	-26.5499
12	744627.2000	9886429.1000	-26.8391
13	744653.2000	9886429.1000	-25.9784
14	744679.2000	9886429.1000	-25.2407
15	744419.2000	9886403.1000	-27.4079
16	744445.2000	9886403.1000	-26.6622
17	744471.2000	9886403.1000	-27.0282
18	744497.2000	9886403.1000	-26.6529
19	744523.2000	9886403.1000	-25.7458
20	744549.2000	9886403.1000	-25.5725
21	744575.2000	9886403.1000	-25.7684
22	744601.2000	9886403.1000	-25.4371
23	744627.2000	9886403.1000	-25.4375
24	744653.2000	9886403.1000	-24.8937
25	744679.2000	9886403.1000	-24.4822
26	744705.2000	9886403.1000	-23.8519
27	744393.2000	9886377.1000	-27.8747
28	744419.2000	9886377.1000	-27.6946
29	744445.2000	9886377.1000	-27.1468
30	744471.2000	9886377.1000	-26.7334
31	744497.2000	9886377.1000	-26.3666
32	744523.2000	9886377.1000	-25.2624
33	744549.2000	9886377.1000	-24.4872
34	744575.2000	9886377.1000	-24.1819
35	744601.2000	9886377.1000	-24.3752
36	744627.2000	9886377.1000	-23.4699
37	744653.2000	9886377.1000	-23.5583
38	744679.2000	9886377.1000	-23.8558
39	744705.2000	9886377.1000	-23.6468
40	744731.2000	9886377.1000	-23.0486
41	744393.2000	9886351.1000	-29.1172
42	744419.2000	9886351.1000	-28.2322
43	744445.2000	9886351.1000	-27.9829
44	744471.2000	9886351.1000	-27.9271
45	744497.2000	9886351.1000	-27.2132
46	744523.2000	9886351.1000	-26.3035
47	744549.2000	9886351.1000	-25.5503
48	744575.2000	9886351.1000	-24.9189
49	744601.2000	9886351.1000	-24.4923
50	744627.2000	9886351.1000	-23.5570
51	744653.2000	9886351.1000	-23.5352
52	744679.2000	9886351.1000	-23.6731
53	744705.2000	9886351.1000	-22.6575
