Id	X	Y	Rugositas
1	744575.10120	9886450.79960	1.00070
2	744601.10120	9886450.79960	1.00092
3	744627.10120	9886450.79960	1.00063
4	744393.10120	9886424.79960	1.00017
5	744419.10120	9886424.79960	1.00038
6	744445.10120	9886424.79960	1.00027
7	744471.10120	9886424.79960	1.00014
8	744497.10120	9886424.79960	1.00008
9	744523.10120	9886424.79960	1.00049
10	744549.10120	9886424.79960	1.00076
11	744575.10120	9886424.79960	1.00075
12	744601.10120	9886424.79960	1.00048
13	744627.10120	9886424.79960	1.00047
14	744653.10120	9886424.79960	1.00044
15	744393.10120	9886398.79960	1.00032
16	744419.10120	9886398.79960	1.00063
17	744445.10120	9886398.79960	1.00046
18	744471.10120	9886398.79960	1.00022
19	744497.10120	9886398.79960	1.00004
20	744523.10120	9886398.79960	1.00040
21	744549.10120	9886398.79960	1.00042
22	744575.10120	9886398.79960	1.00024
23	744601.10120	9886398.79960	1.00017
24	744627.10120	9886398.79960	1.00017
25	744653.10120	9886398.79960	1.00026
26	744679.10120	9886398.79960	1.00013
27	744393.10120	9886372.79960	1.00032
28	744419.10120	9886372.79960	1.00032
29	744445.10120	9886372.79960	1.00031
30	744471.10120	9886372.79960	1.00053
31	744497.10120	9886372.79960	1.00046
32	744523.10120	9886372.79960	1.00055
33	744549.10120	9886372.79960	1.00064
34	744575.10120	9886372.79960	1.00053
35	744601.10120	9886372.79960	1.00068
36	744627.10120	9886372.79960	1.00089
37	744653.10120	9886372.79960	1.00045
38	744679.10120	9886372.79960	1.00012
39	744705.10120	9886372.79960	1.00005
40	744393.10120	9886346.79960	1.00046
41	744419.10120	9886346.79960	1.00052
42	744445.10120	9886346.79960	1.00054
43	744471.10120	9886346.79960	1.00094
44	744497.10120	9886346.79960	1.00060
45	744523.10120	9886346.79960	1.00068
46	744549.10120	9886346.79960	1.00059
47	744575.10120	9886346.79960	1.00012
48	744601.10120	9886346.79960	1.00015
49	744627.10120	9886346.79960	1.00033
50	744653.10120	9886346.79960	1.00025
51	744679.10120	9886346.79960	1.00030
